INSTNM,CITY,INSTURL,st_fips,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE
Alabama A & M University,Normal,www.aamu.edu/,1,34.7834,-86.5685,0,0,NULL,0.8989
University of Alabama at Birmingham,Birmingham,www.uab.edu,1,33.5022,-86.8092,0,0,NULL,0.8673
Amridge University,Montgomery,www.amridgeuniversity.edu,1,32.3626,-86.174,0,0,74,NULL
University of Alabama in Huntsville,Huntsville,www.uah.edu,1,34.7228,-86.6384,0,0,NULL,0.8062
Alabama State University,Montgomery,www.alasu.edu/email/index.aspx,1,32.3643,-86.2957,0,0,NULL,0.5125
The University of Alabama,Tuscaloosa,www.ua.edu/,1,33.2144,-87.5458,0,0,NULL,0.5655
Central Alabama Community College,Alexander City,www.cacc.edu,1,32.9244,-85.9465,0,0,NULL,NULL
Athens State University,Athens,www.athens.edu,1,34.8056,-86.9651,0,0,NULL,NULL
Auburn University at Montgomery,Montgomery,www.aum.edu,1,32.3699,-86.1774,0,0,NULL,0.8371
Auburn University,Auburn University,www.auburn.edu,1,32.6002,-85.4924,0,0,NULL,0.8274
Birmingham Southern College,Birmingham,www.bsc.edu/,1,33.5155,-86.8536,0,0,71,0.6422
Chattahoochee Valley Community College,Phenix City,www.cv.edu,1,32.4239,-85.0315,0,0,NULL,NULL
Concordia College Alabama,Selma,www.ccal.edu/,1,32.4223,-87.0242,0,0,68,NULL
South University-Montgomery,Montgomery,southuniversity.edu,1,32.3427,-86.2165,0,0,NULL,0.4366
Enterprise State Community College,Enterprise,www.escc.edu,1,31.2975,-85.837,0,0,NULL,NULL
James H Faulkner State Community College,Bay Minette,www.faulknerstate.edu,1,30.852,-87.7798,0,0,NULL,NULL
Faulkner University,Montgomery,www.faulkner.edu,1,32.3842,-86.2164,0,0,74,NULL
Gadsden State Community College,Gadsden,www.gadsdenstate.edu,1,33.9919,-85.9913,0,0,NULL,NULL
New Beginning College of Cosmetology,Albertville,www.nbccosmetology.com,1,34.2593,-86.2,0,0,NULL,NULL
George C Wallace State Community College-Dothan,Dothan,www.wallace.edu,1,31.3161,-85.4636,0,0,NULL,NULL
George C Wallace State Community College-Hanceville,Hanceville,www.wallacestate.edu,1,34.0734,-86.7817,0,0,NULL,NULL
George C Wallace State Community College-Selma,Selma,www.wccs.edu,1,32.4456,-87.0132,0,0,NULL,NULL
Herzing University-Birmingham,Birmingham,www.herzing.edu/birmingham,1,33.4681,-86.8323,0,0,NULL,0.7234
Huntingdon College,Montgomery,www.huntingdon.edu,1,32.3509,-86.2853,0,0,71,0.6279
Heritage Christian University,Florence,www.hcu.edu,1,34.8591,-87.6621,0,0,74,NULL
J F Drake State Community and Technical College,Huntsville,www.drakestate.edu,1,34.7721,-86.5738,0,0,NULL,NULL
Jacksonville State University,Jacksonville,www.jsu.edu/,1,33.8221,-85.7666,0,0,NULL,0.8326
Jefferson Davis Community College,Brewton,www.jdcc.edu,1,31.102,-87.0858,0,0,NULL,NULL
Jefferson State Community College,Birmingham,www.jeffstateonline.com,1,33.6524,-86.7074,0,0,NULL,NULL
John C Calhoun State Community College,Tanner,www.calhoun.edu,1,34.6543,-86.9491,0,0,NULL,NULL
Judson College,Marion,www.judson.edu,1,32.6305,-87.3161,0,1,54,0.7388
Lawson State Community College-Birmingham Campus,Birmingham,www.lawsonstate.edu,1,33.4517,-86.8902,0,0,NULL,NULL
University of West Alabama,Livingston,www.uwa.edu,1,32.5924,-88.1861,0,0,NULL,0.9957
Lurleen B Wallace Community College,Andalusia,www.lbwcc.edu,1,31.3229,-86.4523,0,0,NULL,NULL
Marion Military Institute,Marion,www.marionmilitary.edu,1,32.6224,-87.318,0,0,NULL,0.6034
Miles College,Fairfield,www.miles.edu,1,33.4813,-86.9086,0,0,55,NULL
University of Mobile,Mobile,www.umobile.edu,1,30.7932,-88.1289,0,0,75,0.7125
University of Montevallo,Montevallo,www.montevallo.edu,1,33.1063,-86.8651,0,0,NULL,0.8729
Northwest-Shoals Community College,Muscle Shoals,www.nwscc.edu,1,34.7396,-87.6773,0,0,NULL,NULL
University of North Alabama,Florence,www.una.edu,1,34.8066,-87.681,0,0,NULL,0.8092
Northeast Alabama Community College,Rainsville,www.nacc.edu,1,34.5455,-85.9117,0,0,NULL,NULL
Oakwood University,Huntsville,www.oakwood.edu,1,34.7566,-86.6616,0,0,95,0.3435
Alabama Southern Community College,Monroeville,www.ascc.edu,1,31.4889,-87.3264,0,0,NULL,NULL
Prince Institute-Southeast,Montgomery,princeinstitute.edu,1,32.3831,-86.1622,0,0,NULL,NULL
Reid State Technical College,Evergreen,www.rstc.edu,1,31.4607,-86.9645,0,0,NULL,NULL
Bishop State Community College,Mobile,www.bishop.edu,1,30.694,-88.057,0,0,NULL,NULL
Samford University,Birmingham,www.samford.edu,1,33.4646,-86.7909,0,0,54,0.7697
Selma University,Selma,selmauniversity.org,1,32.4204,-87.0338,0,0,54,NULL
Shelton State Community College,Tuscaloosa,www.sheltonstate.edu,1,33.1205,-87.5615,0,0,NULL,NULL
Snead State Community College,Boaz,www.snead.edu,1,34.2007,-86.1695,0,0,NULL,NULL
University of South Alabama,Mobile,www.southalabama.edu,1,30.6951,-88.1819,0,0,NULL,0.8604
Spring Hill College,Mobile,www.shc.edu,1,30.6948,-88.1382,0,0,30,0.4627
Southeastern Bible College,Birmingham,www.sebc.edu,1,33.3789,-86.749,0,0,NULL,0.9615
Stillman College,Tuscaloosa,www.stillman.edu,1,33.1992,-87.5852,0,0,66,0.43
Talladega College,Talladega,www.talladega.edu,1,33.4343,-86.1137,0,0,76,NULL
H Councill Trenholm State Technical College,Montgomery,www.trenholmstate.edu,1,32.3501,-86.3431,0,0,NULL,NULL
Troy University,Troy,www.troy.edu,1,31.8001,-85.9502,0,0,NULL,0.6821
Tuskegee University,Tuskegee,www.tuskegee.edu,1,32.431,-85.7103,0,0,NULL,0.3511
United States Sports Academy,Daphne,www.ussa.edu,1,30.6393,-87.9116,0,0,NULL,NULL
Bevill State Community College,Jasper,www.bscc.edu,1,33.8358,-87.265,0,0,NULL,NULL
University of Alaska Anchorage,Anchorage,www.uaa.alaska.edu,2,61.1896,-149.8261,0,0,NULL,NULL
Alaska Bible College,Palmer,www.akbible.edu/,2,62.113,-145.5262,0,0,88,NULL
University of Alaska Fairbanks,Fairbanks,www.uaf.edu,2,64.8571,-147.8248,0,0,NULL,NULL
University of Alaska Southeast,Juneau,www.uas.alaska.edu,2,58.3843,-134.6363,0,0,NULL,NULL
Alaska Pacific University,Anchorage,www.alaskapacific.edu,2,61.1912,-149.8042,0,0,71,0.3745
AVTEC-Alaska's Institute of Technology,Seward,www.avtec.edu/,2,60.1107,-149.4446,0,0,NULL,0.4888
Charter College-Anchorage,Anchorage,www.chartercollege.edu,2,61.1958,-149.8402,0,0,NULL,NULL
Prince William Sound Community College,Valdez,www.pwscc.edu,2,61.1224,-146.178,0,0,NULL,NULL
Alaska Career College,Anchorage,www.alaskacareercollege.edu,2,61.1814,-149.857,0,0,NULL,NULL
Everest College-Phoenix,Phoenix,www.everestcollegephoenix.edu,4,33.581,-112.1138,0,0,NULL,NULL
Collins College,Phoenix,www.collinscollege.edu,4,33.4033,-111.9865,0,0,NULL,NULL
Empire Beauty School-Paradise Valley,Phoenix,www.empire.edu,4,33.6026,-111.9764,0,0,NULL,NULL
Empire Beauty School-Tucson,Tucson,www.empire.edu,4,32.2357,-110.9272,0,0,NULL,NULL
Thunderbird School of Global Management,Glendale,www.thunderbird.edu,4,33.6209,-112.1809,0,0,NULL,NULL
American Indian College of the Assemblies of God Inc,Phoenix,www.aicag.edu/,4,33.5777,-112.0922,0,0,27,NULL
American Institute of Technology,Phoenix,www.ait-schools.com,4,33.4423,-112.1753,0,0,NULL,NULL
Carrington College-Phoenix,Phoenix,www.carrington.edu,4,33.5608,-112.1155,0,0,NULL,1
Carrington College-Mesa,Mesa,www.carrington.edu,4,33.393,-111.8553,0,0,NULL,1
Carrington College-Tucson,Tucson,www.carrington.edu,4,32.2709,-110.978,0,0,NULL,1
College America-Flagstaff,Flagstaff,www.collegeamerica.edu,4,35.2112,-111.6048,0,0,NULL,NULL
Arizona Academy of Beauty-East,Tucson,www.arizonaacademy.com,4,32.2373,-110.8723,0,0,NULL,NULL
Arizona Automotive Institute,Glendale,www.aai.edu,4,33.5372,-112.1573,0,0,NULL,NULL
Brookline College-Phoenix,Phoenix,www.brooklinecollege.edu,4,33.5254,-112.1501,0,0,NULL,NULL
Arizona State University-Tempe,Tempe,www.asu.edu/,4,33.4219,-111.94,0,0,NULL,0.8023
Arizona Western College,Yuma,www.azwestern.edu,4,32.6893,-114.496,0,0,NULL,NULL
University of Arizona,Tucson,www.arizona.edu,4,32.2321,-110.9508,0,0,NULL,0.7692
Southwest University of Visual Arts-Tucson,Tucson,www.suva.edu,4,32.2524,-110.9273,0,0,NULL,NULL
Brillare Hairdressing Academy,Scottsdale,www.brillare.com/,4,33.624,-111.9255,0,0,NULL,NULL
Central Arizona College,Coolidge,www.centralaz.edu,4,32.9571,-111.6525,0,0,NULL,NULL
Brown Mackie College-Tucson,Tucson,www.brownmackie.edu,4,32.2367,-110.8951,0,0,NULL,NULL
Charles of Italy Beauty College,Lake Havasu City,www.charlesofitaly.edu,4,34.4753,-114.3281,0,0,NULL,NULL
Cochise College,Douglas,www.cochise.edu,4,31.3658,-109.6904,0,0,NULL,NULL
Empire Beauty School-Flagstaff,Flagstaff,www.empire.edu,4,35.1972,-111.6259,0,0,NULL,NULL
Empire Beauty School-Chandler,Chandler,www.empire.edu,4,33.3476,-111.8604,0,0,NULL,NULL
Cortiva Institute-Tucson,Tucson,www.cortiva.com/,4,32.219,-110.8568,0,0,NULL,NULL
Avalon School of Cosmetology-Mesa,Mesa,www.avalon.com,4,33.3766,-111.8583,0,0,NULL,NULL
Eastern Arizona College,Thatcher,www.eac.edu,4,32.8407,-109.7617,0,0,NULL,NULL
Embry-Riddle Aeronautical University-Prescott,Prescott,www.erau.edu,4,34.6157,-112.4523,0,0,NULL,0.7898
Frank Lloyd Wright School of Architecture,Scottsdale,www.taliesin.edu,4,33.6072,-111.8465,0,0,NULL,NULL
Glendale Community College,Glendale,www.gccaz.edu,4,33.5675,-112.1883,0,0,NULL,NULL
Grand Canyon University,Phoenix,www.gcu.edu,4,33.5122,-112.1299,0,0,NULL,0.548
Anthem College-Phoenix,Phoenix,www.anthem.edu,4,33.4943,-112.0502,0,0,NULL,NULL
International Academy of Hair Design,Mesa,www.intlacademyaz.com/,4,33.393,-111.8627,0,0,NULL,NULL
Kaplan College-Phoenix,Phoenix,www.kaplancollege.com/phoenix-az/,4,33.6082,-112.1189,0,0,NULL,NULL
GateWay Community College,Phoenix,www.gatewaycc.edu,4,33.4495,-111.9965,0,0,NULL,NULL
Mesa Community College,Mesa,www.mesacc.edu,4,33.3913,-111.8715,0,0,NULL,NULL
ITT Technical Institute-Tucson,Tucson,www.itt-tech.edu,4,32.2973,-110.9975,0,0,NULL,0.9703
ITT Technical Institute-Tempe,Tempe,www.itt-tech.edu,4,33.3804,-111.9692,0,0,NULL,0.9796
Mohave Community College,Kingman,www.mohave.edu,4,35.2707,-114.0302,0,0,NULL,NULL
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,www.uti.edu/,4,33.6844,-112.1213,0,0,NULL,NULL
Dine College,Tsaile,www.dinecollege.edu,4,36.3276,-109.2947,0,0,NULL,NULL
Northern Arizona University,Flagstaff,nau.edu/,4,35.1801,-111.6577,0,0,NULL,0.9137
Northland Pioneer College,Holbrook,www.npc.edu,4,34.9222,-110.1316,0,0,NULL,NULL
Ottawa University-Phoenix,Phoenix,www.ottawa.edu,4,33.5779,-112.1134,0,0,52,NULL
Phoenix College,Phoenix,www.phoenixcollege.edu,4,33.4814,-112.0883,0,0,NULL,NULL
Cortiva Institute-Scottsdale,Scottsdale,www.cortiva.com/,4,33.4666,-111.9084,0,0,NULL,NULL
University of Phoenix-Phoenix Campus,Tempe,www.phoenix.edu,4,33.4123,-111.9802,0,0,NULL,NULL
Pima Community College,Tucson,www.pima.edu,4,32.2268,-110.9852,0,0,NULL,NULL
Pima Medical Institute-Tucson,Tucson,pmi.edu,4,32.2504,-110.9213,0,0,NULL,NULL
Pima Medical Institute-Albuquerque,Albuquerque,pmi.edu,35,35.1055,-106.5947,0,0,NULL,NULL
Prescott College,Prescott,www.prescott.edu,4,34.5445,-112.4765,0,0,NULL,0.7293
Refrigeration School Inc,Phoenix,refrigerationschool.com,4,33.4487,-111.9894,0,0,NULL,NULL
Rio Salado College,Tempe,www.rio.maricopa.edu,4,33.4131,-111.9752,0,0,NULL,NULL
Roberto-Venn School of Luthiery,Phoenix,www.roberto-venn.com,4,33.4547,-112.0864,0,0,NULL,NULL
Hair Academy of Safford,Safford,hairacademy.com,4,32.8353,-109.7277,0,0,NULL,NULL
Scottsdale Community College,Scottsdale,www.scottsdalecc.edu,4,33.5095,-111.8873,0,0,NULL,NULL
South Mountain Community College,Phoenix,www.southmountaincc.edu,4,33.381,-112.0575,0,0,NULL,NULL
Arizona Christian University,Phoenix,www.arizonachristian.edu,4,33.5951,-112.0262,0,0,88,0.6076
Tucson College,Tucson,www.tucsoncollege.edu,4,32.2218,-110.8835,0,0,NULL,NULL
Universal Technical Institute of Arizona Inc,Avondale,www.uti.edu,4,33.4535,-112.2897,0,0,NULL,NULL
Western International University,Tempe,www.west.edu,4,33.6007,-112.1184,0,0,NULL,NULL
Empire Beauty School-NW Phoenix,Glendale,www.empire.edu,4,33.5381,-112.1182,0,0,NULL,NULL
Yavapai College,Prescott,www.YC.EDU,4,34.5475,-112.4542,0,0,NULL,NULL
University of Arkansas at Little Rock,Little Rock,ualr.edu/www/,5,34.7266,-92.3418,0,0,NULL,0.5274
University of Arkansas for Medical Sciences,Little Rock,www.uams.edu,5,34.7497,-92.3209,0,0,NULL,NULL
ABC Beauty College Inc,Arkadelphia,www.abc-beautycollege.com,5,34.1223,-93.0816,0,0,NULL,NULL
Arkansas Baptist College,Little Rock,www.arkansasbaptist.edu,5,34.7348,-92.2906,0,0,54,NULL
Arkansas Beauty School,Little Rock,arkbeautyschool.com,5,34.6691,-92.3348,0,0,NULL,NULL
Arkansas Beauty College,Russellville,arkansasbeautycollegerussellville.com,5,35.2786,-93.1352,0,0,NULL,NULL
Lyon College,Batesville,www.lyon.edu,5,35.7789,-91.6281,0,0,66,0.5898
Arkansas College of Barbering and Hair Design,North Little Rock,www.arkansascollegeofbarbering.com,5,34.7536,-92.2663,0,0,NULL,NULL
Arthur's Beauty College Inc-Fort Smith,Fort Smith,www.arthursbeautycollege.com,5,35.38,-94.411,0,0,NULL,NULL
University of Arkansas,Fayetteville,www.uark.edu,5,36.0615,-94.1782,0,0,NULL,0.5858
University of Arkansas at Pine Bluff,Pine Bluff,www.uapb.edu,5,34.2422,-92.0213,0,0,NULL,0.277
Arkansas State University-Beebe,Beebe,www.asub.edu,5,35.0745,-91.8962,0,0,NULL,NULL
Arkansas State University-Main Campus,Jonesboro,www2.astate.edu,5,35.8428,-90.6805,0,0,NULL,0.7551
Arkansas Tech University,Russellville,www.atu.edu,5,35.2952,-93.1323,0,0,NULL,0.8503
University of Arkansas at Monticello,Monticello,www.uamont.edu,5,33.5898,-91.813,0,0,NULL,NULL
Arthur's Beauty College Inc-Jacksonville,Jacksonville,arthursbeautycollege.com,5,34.8918,-92.1023,0,0,NULL,NULL
Baptist Health Schools-Little Rock,Little Rock,www.bhslr.edu,5,34.7131,-92.4069,0,0,54,0.8615
Black River Technical College,Pocahontas,www.blackrivertech.edu,5,36.2398,-90.951,0,0,NULL,NULL
University of Central Arkansas,Conway,www.uca.edu,5,35.0782,-92.4593,0,0,NULL,0.8997
Central Baptist College,Conway,www.cbc.edu,5,35.0846,-92.4441,0,0,54,0.5407
Cossatot Community College of the University of Arkansas,De Queen,www.cccua.edu/,5,34.0434,-94.3673,0,0,NULL,NULL
Crowley's Ridge College,Paragould,www.crc.edu/,5,36.0662,-90.5848,0,0,74,NULL
Crowley's Ridge Technical Institute,Forrest City,www.crti.tec.ar.us,5,35.0419,-90.7678,0,0,NULL,NULL
East Arkansas Community College,Forrest City,WWW.EACC.EDU,5,35.0397,-90.7674,0,0,NULL,NULL
Eastern College of Health Vocations-Little Rock,Little Rock,www.easterncollege.edu,5,34.7511,-92.3412,0,0,NULL,NULL
Imagine-Paul Mitchell Partner School,North Little Rock,www.pmlittlerock.com,5,34.7913,-92.2213,0,0,NULL,NULL
National Park Community College,Hot Springs,www.npcc.edu,5,34.5127,-93.1171,0,0,NULL,NULL
University of Arkansas Community College-Batesville,Batesville,www.uaccb.edu,5,35.7929,-91.6161,0,0,NULL,NULL
Harding University,Searcy,www.harding.edu,5,35.2496,-91.729,0,0,74,0.7628
Henderson State University,Arkadelphia,www.hsu.edu,5,34.1278,-93.0603,0,0,NULL,0.6221
Hendrix College,Conway,www.hendrix.edu,5,35.0997,-92.442,0,0,71,0.8039
Hot Springs Beauty College,Hot Springs,hotspringsbeautycollege.com,5,34.4963,-93.0384,0,0,NULL,NULL
Jefferson Regional Medical Center School of Nursing,Pine Bluff,www.jrmc.org,5,34.1878,-92.018,0,0,NULL,NULL
John Brown University,Siloam Springs,www.jbu.edu,5,36.1911,-94.5591,0,0,NULL,0.6982
Lees School of Cosmetology,North Little Rock,LSCTraining.com,5,34.782,-92.2967,0,0,NULL,NULL
Career Academy of Hair Design,Springdale,www.beautynwa.com,5,36.1676,-94.1318,0,0,NULL,NULL
Marsha Kay Beauty College,Mountain Home,marshakaybeautycollege.com,5,36.3447,-92.386,0,0,NULL,NULL
Academy of Salon and Spa,Fort Smith,www.academysalonspa.com,5,35.3809,-94.4163,0,0,NULL,NULL
Mid-South Community College,West Memphis,www.midsouthcc.edu,5,35.1457,-90.2229,0,0,NULL,NULL
Arkansas Northeastern College,Blytheville,www.anc.edu,5,35.8974,-89.9225,0,0,NULL,NULL
Margaret's Hair Academy Inc,Monticello,NULL,5,33.6292,-91.7887,0,0,NULL,NULL
New Tyler Barber College Inc,North Little Rock,newtylerbarbercollege.com,5,34.7591,-92.2541,0,0,NULL,NULL
North Arkansas College,Harrison,www.northark.edu,5,36.2205,-93.0873,0,0,NULL,NULL
Northwest Technical Institute,Springdale,www.nwti.edu,5,36.1786,-94.1164,0,0,NULL,NULL
Ouachita Baptist University,Arkadelphia,www.obu.edu,5,34.125,-93.0524,0,0,75,0.7011
College of the Ouachitas,Malvern,www.coto.edu,5,34.3787,-92.8214,0,0,NULL,NULL
Ozarka College,Melbourne,www.ozarka.edu,5,36.053,-91.8964,0,0,NULL,NULL
University of the Ozarks,Clarksville,www.ozarks.edu,5,35.4778,-93.4679,0,0,66,0.6136
University of Arkansas Community College-Morrilton,Morrilton,www.uaccm.edu,5,35.1721,-92.7285,0,0,NULL,0.5838
Philander Smith College,Little Rock,www.philander.edu,5,34.7367,-92.2824,0,0,71,NULL
Phillips Community College of the University of Arkansas,Helena,www.pccua.edu,5,34.545,-90.6177,0,0,NULL,NULL
Southeast Arkansas College,Pine Bluff,www.seark.edu,5,34.2098,-92.0247,0,0,NULL,NULL
Professional Cosmetology Education Center,El Dorado,www.professionalcosmetologyeducation.edu,5,33.2151,-92.6631,0,0,NULL,NULL
Pulaski Technical College,North Little Rock,www.pulaskitech.edu,5,34.7824,-92.2997,0,0,NULL,NULL
University of Arkansas Community College-Hope,Hope,www.uacch.edu,5,33.6479,-93.5845,0,0,NULL,NULL
Rich Mountain Community College,Mena,www.rmcc.edu,5,34.5908,-94.2197,0,0,NULL,NULL
Paul Mitchell the School-Arkansas,Fayetteville,www.pmtsarkansas.com,5,36.0787,-94.1565,0,0,NULL,NULL
Searcy Beauty College Inc,Searcy,searcybeautycollege.com/,5,35.2377,-91.7345,0,0,NULL,NULL
Shorter College,N Little Rock,www.shortercollege.org/,5,NULL,NULL,0,0,51,NULL
Williams Baptist College,Walnut Ridge,www.wbcoll.edu,5,36.1268,-90.9399,0,0,75,0.6798
South Arkansas Community College,El Dorado,www.southark.edu,5,33.2094,-92.6661,0,0,NULL,NULL
Southern Arkansas University Main Campus,Magnolia,WWW.SAUMAG.EDU,5,33.2912,-93.2351,0,0,NULL,0.6081
Southern Arkansas University Tech,Camden,www.sautech.edu,5,33.6039,-92.839,0,0,NULL,NULL
Velvatex College of Beauty Culture,Little Rock,www.velvatexcollege.com,5,34.7357,-92.2898,0,0,NULL,NULL
University of Arkansas-Fort Smith,Fort Smith,uafs.edu/,5,35.3853,-94.3741,0,0,NULL,0.5736
Academy of Art University,San Francisco,www.academyart.edu,6,37.7877,-122.4007,0,0,NULL,NULL
ITT Technical Institute-Rancho Cordova,Rancho Cordova,www.itt-tech.edu,6,38.5917,-121.2815,0,0,NULL,0.3845
Academy of Chinese Culture and Health Sciences,Oakland,www.acchs.edu,6,37.8067,-122.2727,0,0,NULL,NULL
The Academy of Radio and TV Broadcasting,Huntington Beach,WWW.ARBRADIO.COM,6,33.7289,-117.9877,0,0,NULL,NULL
Avalon School of Cosmetology-Alameda,Alameda,avalon.edu,6,37.7642,-122.2436,0,0,NULL,NULL
College of Alameda,Alameda,www.peralta.edu,6,37.7824,-122.2793,0,0,NULL,NULL
Allan Hancock College,Santa Maria,www.hancockcollege.edu/,6,34.943,-120.4215,0,0,NULL,NULL
American Academy of Dramatic Arts-Los Angeles,Los Angeles,WWW.AADA.EDU,6,34.0953,-118.3441,0,0,NULL,0.1479
American Baptist Seminary of the West,Berkeley,www.absw.edu,6,37.8653,-122.2561,0,0,52,NULL
American Film Institute Conservatory,Los Angeles,www.AFI.com,6,34.1085,-118.31,0,0,NULL,NULL
American Beauty College,West Covina,www.american-beauty-college.com,6,33.8844,-118.125,0,0,NULL,NULL
American Career College-Los Angeles,Los Angeles,americancareercollege.edu/,6,34.0792,-118.2923,0,0,NULL,NULL
American Conservatory Theater,San Francisco,www.act-sf.org,6,37.7873,-122.4049,0,0,NULL,NULL
American River College,Sacramento,www.arc.losrios.edu/,6,38.6497,-121.346,0,0,NULL,NULL
Everest College-Hayward,Hayward,www.bryman.edu,6,37.6754,-122.0848,0,0,NULL,NULL
Antelope Valley College,Lancaster,www.avc.edu,6,34.6762,-118.1862,0,0,NULL,NULL
Art Center College of Design,Pasadena,www.artcenter.edu,6,34.1708,-118.1869,0,0,NULL,0.8167
Associated Technical College-Los Angeles,Los Angeles,www.atcla.edu,6,34.056,-118.2724,0,0,NULL,NULL
Associated Technical College-San Diego,San Diego,www.associatedtechcollege.com,6,32.7157,-117.1582,0,0,NULL,NULL
Azusa Pacific University,Azusa,www.apu.edu,6,34.1309,-117.888,0,0,88,0.7985
Bakersfield College,Bakersfield,www.bakersfieldcollege.edu/,6,35.4108,-118.9735,0,0,NULL,NULL
Barstow Community College,Barstow,www.barstow.edu,6,34.8715,-117.0252,0,0,NULL,NULL
Bellus Academy-National City,National City,www.bellusacademy.edu,6,32.6768,-117.0902,0,0,NULL,NULL
Bethesda University of California,Anaheim,www.buc.edu,6,33.8423,-117.9413,0,0,99,0.8321
Biola University,La Mirada,www.biola.edu,6,33.9048,-118.0173,0,0,88,0.7286
Brooks Institute,Santa Barbara,www.brooks.edu,6,34.4186,-119.696,0,0,NULL,0.98
Brownson Technical School,Anaheim,www.brownson.edu,6,33.819,-117.9064,0,0,NULL,NULL
Bryan University,Los Angeles,www.bryancollege.edu,6,34.0614,-118.3029,0,0,NULL,NULL
Butte College,Oroville,www.butte.edu,6,39.6491,-121.6447,0,0,NULL,NULL
Phillips Graduate Institute,Chatsworth,pgi.edu,6,34.2427,-118.5677,0,0,NULL,NULL
California Institute of Integral Studies,San Francisco,www.ciis.edu,6,37.7748,-122.4165,0,0,NULL,NULL
Cabrillo College,Aptos,www.cabrillo.edu,6,36.9891,-121.9279,0,0,NULL,NULL
California Baptist University,Riverside,www.calbaptist.edu,6,33.9286,-117.4259,0,0,75,0.788
California College of the Arts,San Francisco,www.cca.edu,6,37.8357,-122.2514,0,0,NULL,0.8157
University of California-Hastings College of Law,San Francisco,www.uchastings.edu,6,37.7807,-122.4154,0,0,NULL,NULL
California Institute of Technology,Pasadena,www.caltech.edu,6,34.1393,-118.1257,0,0,NULL,0.1055
California Lutheran University,Thousand Oaks,www.callutheran.edu/,6,34.2256,-118.8795,0,0,39,0.4802
California Polytechnic State University-San Luis Obispo,San Luis Obispo,calpoly.edu,6,35.2989,-120.6586,0,0,NULL,0.3123
Alliant International University,San Diego,www.alliant.edu,6,32.8971,-117.0944,0,0,NULL,0.4922
California State University-Bakersfield,Bakersfield,www.csub.edu,6,35.35,-119.1047,0,0,NULL,0.6626
California State University-Stanislaus,Turlock,www.csustan.edu,6,37.5258,-120.8525,0,0,NULL,0.7215
California State University-San Bernardino,San Bernardino,www.csusb.edu,6,34.183,-117.3225,0,0,NULL,0.5831
California State Polytechnic University-Pomona,Pomona,www.csupomona.edu,6,34.0543,-117.819,0,0,NULL,0.5218
California State University-Chico,Chico,www.csuchico.edu,6,39.728,-121.8463,0,0,NULL,0.7161
California State University-Dominguez Hills,Carson,www.csudh.edu,6,33.8652,-118.2593,0,0,NULL,0.5747
California State University-Fresno,Fresno,www.csufresno.edu,6,36.8145,-119.7483,0,0,NULL,0.5815
California State University-Fullerton,Fullerton,www.fullerton.edu,6,33.8836,-117.8853,0,0,NULL,0.4579
California State University-East Bay,Hayward,www.csueastbay.edu,6,37.6571,-122.0581,0,0,NULL,0.6872
California State University-Long Beach,Long Beach,www.csulb.edu,6,33.7828,-118.1123,0,0,NULL,0.3082
California State University-Los Angeles,Los Angeles,www.calstatela.edu,6,34.0669,-118.169,0,0,NULL,0.6752
California State University-Northridge,Northridge,www.csun.edu,6,34.2367,-118.5268,0,0,NULL,0.4624
California State University-Sacramento,Sacramento,www.csus.edu,6,38.5575,-121.4219,0,0,NULL,0.6968
University of California-Berkeley,Berkeley,www.berkeley.edu,6,37.8715,-122.2604,0,0,NULL,0.18
University of California-Davis,Davis,www.ucdavis.edu,6,38.5399,-121.752,0,0,NULL,0.4521
University of California-Irvine,Irvine,www.uci.edu/,6,33.667,-117.7686,0,0,NULL,0.4239
University of California-Los Angeles,Los Angeles,www.ucla.edu/,6,34.0689,-118.4439,0,0,NULL,0.2199
University of California-Riverside,Riverside,WWW.UCR.EDU,6,33.9759,-117.3311,0,0,NULL,0.62
University of California-San Diego,La Jolla,www.ucsd.edu,6,32.8766,-117.2378,0,0,NULL,0.375
University of California-San Francisco,San Francisco,www.ucsf.edu,6,37.7627,-122.458,0,0,NULL,NULL
University of California-Santa Barbara,Santa Barbara,www.ucsb.edu,6,34.4155,-119.8481,0,0,NULL,0.4444
University of California-Santa Cruz,Santa Cruz,www.ucsc.edu/,6,36.9973,-122.068,0,0,NULL,0.5991
Sofia University,Palo Alto,www.sofia.edu,6,37.4303,-122.1087,0,0,NULL,NULL
California Beauty School,Modesto,www.calbeautycollege.com,6,37.6452,-120.9969,0,0,NULL,NULL
California Christian College,Fresno,www.calchristiancollege.edu,6,36.7676,-119.7328,0,0,41,0.8333
California College San Diego,San Diego,www.cc-sd.edu,6,32.7702,-117.1338,0,0,NULL,NULL
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,www.caculinary.edu,6,37.7654,-122.4026,0,0,NULL,NULL
California Hair Design Academy,La Mesa,chdaschools.com,6,32.7652,-117.0243,0,0,NULL,NULL
California Institute of the Arts,Valencia,www.calarts.edu,6,34.3933,-118.5673,0,0,NULL,0.2992
California Maritime Academy,Vallejo,www.csum.edu,6,38.0691,-122.2316,0,0,NULL,0.748
California Western School of Law,San Diego,www.cwsl.edu,6,32.7219,-117.1626,0,0,NULL,NULL
